;;Simulation Recettes Vignettes  taux d’occupation fixé au minimum de 10%  (BASE ANNEE 2013) ;;;;;;;;;;;
;;;;;;;;REALISATION 2013;;;;;
1;;REGION ;CAT;NBRE CH;VT;NOM DE L'ETABLISSEMENT;MOIS ;Montant VT part ONTM 50%;;;;;
26;1; 1- ANTSIRANANA:Ambanja:HOTEL HIBISCUS;R;6;1000;HOTEL HIBISCUS;FEVRIER 2013;2 200,00;;;;;
27;1;;;;;Moyenne HOTEL HIBISCUS;;;;;;;
28;1; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;JANVIER 2013;11 000,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;Fevrier 2013;0,00;;;;;
29;1; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;MARS 2013;12 500,00;;;;;
30;1; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;AVRIL 2013;22 500,00;;;;;
31;1; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;MAI 2013;15 500,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;Juin 2013;0,00;;;;;
32;1; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;JUILLET 2013;11 000,00;;;;;
33;1; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;SEPTEMBRE 2013;41 500,00;;;;;
34;1; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;OCTOBRE 2013;12 500,00;;;;;
35;1; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;NOVEMBRE 2013;10 000,00;;;;;
36;1; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;AOUT 2013;16 000,00;;;;;
37;1; 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;HOTEL LE BAOBAB;DECEMBRE 2013;6 500,00;;;;;
38;1;;;;;Moyenne HOTEL LE BAOBAB;;;;;;;
39;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;JANVIER 2013;12 500,00;;;;;
40;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;MARS 2013;14 500,00;;;;;
41;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;AVRIL 2013;15 500,00;;;;;
42;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;MAI 2013;12 500,00;;;;;
43;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;JUIN 2013;12 000,00;;;;;
44;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;JUILLET 2013;16 500,00;;;;;
45;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;SEPTEMBRE 2013;15 000,00;;;;;
46;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;OCTOBRE 2013;14 000,00;;;;;
47;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;NOVEMBRE 2013;14 000,00;;;;;
48;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;AOUT 2013;14 000,00;;;;;
49;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;DECEMBRE 2013;13 000,00;;;;;
50;1; 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;HOTEL MARRAKECH;FEVRIER 2013;10 000,00;;;;;
51;1;;;;;Moyenne HOTEL MARRAKECH;;;;;;;
52;1; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;JANVIER 2013;13 500,00;;;;;
53;1; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;FEVRIER 2013;10 000,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;Mars 2013;0,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;Avril 2013;0,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;Mai 2013;0,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;Juin 2013;0,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;JUILLET 2013;0,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;AOUT 2013;0,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;SEPTEMBRE 2013;0,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;OCTOBRE 2013;0,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;NOVEMBRE 2013;0,00;;;;;
;; 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;HOTEL PALM NOVA;DECEMBRE 2013;;;;;;
54;1;;;10;;Moyenne HOTEL PALM NOVA;;;;;;;
55;1; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;JANVIER 2013;6 000,00;;;;;
;; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;FEVRIER 2013;0,00;;;;;
56;1; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;MARS 2013;3 000,00;;;;;
57;1; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;AVRIL 2013;3 000,00;;;;;
58;1; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;MAI 2013;10 000,00;;;;;
59;1; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;JUIN 2013;2 500,00;;;;;
60;1; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;JUILLET 2013;2 500,00;;;;;
61;1; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;SEPTEMBRE 2013;5 500,00;;;;;
62;1; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;OCTOBRE 2013;6 000,00;;;;;
63;1; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;NOVEMBRE 2013;3 000,00;;;;;
64;1; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;AOUT 2013;2 500,00;;;;;
65;1; 1- ANTSIRANANA:Ambanja:LA TIMONIERE;R;9;1000;LA TIMONIERE;DECEMBRE 2013;4 000,00;;;;;
66;1;;;;;Moyenne LA TIMONIERE;;;;;;;
67;1; 1- ANTSIRANANA:Ambanja:L'ARCHE DE NOE;NC;3;1000;L'ARCHE DE NOE;JANVIER 2013;1 500,00;;;;;
68;1; 1- ANTSIRANANA:Ambanja:L'ARCHE DE NOE;NC;3;1000;L'ARCHE DE NOE;MARS 2013;2 000,00;;;;;
69;1; 1- ANTSIRANANA:Ambanja:L'ARCHE DE NOE;NC;3;1000;L'ARCHE DE NOE;AVRIL 2013;2 500,00;;;;;
70;1; 1- ANTSIRANANA:Ambanja:L'ARCHE DE NOE;NC;3;1000;L'ARCHE DE NOE;MAI 2013;3 500,00;;;;;
71;1; 1- ANTSIRANANA:Ambanja:L'ARCHE DE NOE;NC;3;1000;L'ARCHE DE NOE;JUIN 2013;2 500,00;;;;;
