Etablissement;cat;Nb chb;Taux VT;Mois;Montant (50%);Taux d'occupation
1- ANTSIRANANA:Ambanja:COCO KOMBA;R;4;1000;DECEMBRE ET JANVIER 2017;13 000,00;21,67%
1- ANTSIRANANA:Ambanja:COCO KOMBA;R;4;1000;MAI 2017;10 450,00;17,42%
1- ANTSIRANANA:Ambanja:COCO KOMBA;R;4;1000;AVRIL 2017;9 000,00;15,00%
1- ANTSIRANANA:Ambanja:COCO KOMBA;R;4;1000;FEVRIER 2017;4 400,00;7,33%
1- ANTSIRANANA:Ambanja:COCO KOMBA;R;4;1000;MARS 2017;4 000,00;6,67%
1- ANTSIRANANA:Ambanja:COCO KOMBA;R;4;1000;DECEMBRE 2017;3 300,00;5,50%
Moyenne 1- ANTSIRANANA:Ambanja:COCO KOMBA;;;;;;12,26%
Moyenne;;;;;;12,26%
