Etablissement;cat;Nb chb;Taux VT;Mois;Montant (50%);Taux d'occupation
11- TOLIARY:Tuléar ville:COCO KOMBA;1R;5;2000;DECEMBRE ET JANVIER 2017;13 000,00;8,67%
11- TOLIARY:Tuléar ville:COCO KOMBA;1R;4;1000;MAI 2017;10 450,00;17,42%
11- TOLIARY:Tuléar ville:COCO KOMBA;1R;4;1000;DECEMBRE 2017;9 000,00;15,00%
11- TOLIARY:Tuléar ville:COCO KOMBA;1R;4;1000;FEVRIER 2017;4 400,00;7,33%
11- TOLIARY:Tuléar ville:COCO KOMBA;1R;4;1000;MARS 2017;4 000,00;6,67%
11- TOLIARY:Tuléar ville:COCO KOMBA;1R;4;1000;DECEMBRE 2017;3 300,00;5,50%
Moyenne 1- ANTSIRANANA:Ambanja:COCO KOMBA;;;;;;10,10%
Moyenne;;;;;;10,10%
