,,Simulation Recettes Vignettes ,,,,,,,,
,,,,,,,,REALISATION 2015,,
,,REGION,cat,Nb chb,Taux VT,NOM DE L'ETABLISSEMENT,Mois,Montant (50%),,
,,Moyenne 1- ANTSIRANANA:Ambanja:MA KARIM HOTEL,,,,,,,,
,,1- ANTSIRANANA:Ambanja:MER ET NATURE,R,7,1000,,OCTOBRE 2015,"6,050.00",,
,,1- ANTSIRANANA:Ambanja:MER ET NATURE,R,7,1000,,DECEMBRE 2015,"3,850.00",,
,,Moyenne 1- ANTSIRANANA:Ambanja:MER ET NATURE,,,,,,,,
,,1- ANTSIRANANA:Ambanja:NATURE SAUVAGE,3R,8,1000,,AOUT 2015,"50,000.00",,
,,1- ANTSIRANANA:Ambanja:NATURE SAUVAGE,3R,8,1000,,OCTOBRE 2015,"40,000.00",,
,,1- ANTSIRANANA:Ambanja:NATURE SAUVAGE,3R,8,1000,,SEPTEMBRE 2015,"40,000.00",,
,,1- ANTSIRANANA:Ambanja:NATURE SAUVAGE,3R,8,1000,,DECEMBRE 2015,"32,000.00",,
,,1- ANTSIRANANA:Ambanja:NATURE SAUVAGE,3R,8,1000,,NOVEMBRE 2015,"30,000.00",,
,,1- ANTSIRANANA:Ambanja:NATURE SAUVAGE,3R,8,1000,,JUILLET 2015,"15,000.00",,
,,1- ANTSIRANANA:Ambanja:NATURE SAUVAGE,3R,8,1000,,JUIN 2015,"5,000.00",,
,,Moyenne 1- ANTSIRANANA:Ambanja:NATURE SAUVAGE,,,,,,,,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,AOUT 2015,"39,900.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,JUILLET 2015,"39,750.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,SEPTEMBRE 2015,"30,550.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,OCTOBRE 2015,"25,900.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,DECEMBRE 2015,"23,800.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,JUIN 2015,"21,600.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,NOVEMBRE 2015,"21,450.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,FEVRIER 2015,"20,000.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,JANVIER 2015,"18,900.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,MAI 2015,"14,450.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,AVRIL 2015,"14,400.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,DECEMBRE 2015,"14,000.00",,
,,1- ANTSIRANANA:Ambanja:SALAMA ROSE,R,26,1000,,MARS 2015,"8,550.00",,
,,Moyenne 1- ANTSIRANANA:Ambanja:SALAMA ROSE,,,,,,,,
,,1- ANTSIRANANA:Ambilobe:ANKARANA LODGE,R,12,1000,,SEPTEMBRE 2015,"84,150.00",,
,,Moyenne 1- ANTSIRANANA:Ambilobe:ANKARANA LODGE,,,,,,,,
,,1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL,R,10,1000,,SEPTEMBRE 2015,"24,500.00",,
,,1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL,R,10,1000,,OCTOBRE 2015,"24,000.00",,
,,1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL,R,10,1000,,AOUT 2015,"23,500.00",,
,,1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL,R,10,1000,,JUIN 2015,"23,000.00",,
,,1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL,R,10,1000,,NOVEMBRE 2015,"22,500.00",,
,,1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL,R,10,1000,,DECEMBRE 2015,"22,000.00",,
,,Moyenne 1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL,,,,,,,,
,,1- ANTSIRANANA:Ambilobe:LA CASA DU BONHEUR,NC,3,1000,,JUIN 2015,"2,500.00",,
,,1- ANTSIRANANA:Ambilobe:LA CASA DU BONHEUR,NC,3,1000,,NOVEMBRE 2015,"1,500.00",,
,,1- ANTSIRANANA:Ambilobe:LA CASA DU BONHEUR,NC,3,1000,,AOUT 2015,"1,000.00",,
,,1- ANTSIRANANA:Ambilobe:LA CASA DU BONHEUR,NC,3,1000,,DECEMBRE 2015,"1,000.00",,
,,Moyenne 1- ANTSIRANANA:Ambilobe:LA CASA DU BONHEUR,,,,,,,,
,,1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA,2R,6,1000,,OCTOBRE 2015,"50,000.00",,
,,1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA,2R,6,1000,,AOUT 2015,"46,000.00",,
,,1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA,2R,6,1000,,SEPTEMBRE 2015,"38,500.00",,
,,1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA,2R,6,1000,,NOVEMBRE 2015,"33,500.00",,
,,1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA,2R,6,1000,,JUILLET 2015,"32,000.00",,
,,1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA,2R,6,1000,,JUIN 2015,"21,000.00",,
,,1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA,2R,6,1000,,DECEMBRE 2015,"15,500.00",,
,,Moyenne 1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA,,,,,,,,
,,1- ANTSIRANANA:Ambilobe:MALOYA,NC,6,1000,,NOVEMBRE 2015,"3,500.00",,
,,1- ANTSIRANANA:Ambilobe:MALOYA,NC,6,1000,,OCTOBRE 2015,"3,000.00",,
,,1- ANTSIRANANA:Ambilobe:MALOYA,NC,6,1000,,SEPTEMBRE 2015,"3,000.00",,
,,1- ANTSIRANANA:Ambilobe:MALOYA,NC,6,1000,,DECEMBRE 2015,"2,000.00",,
,,Moyenne 1- ANTSIRANANA:Ambilobe:MALOYA,,,,,,,,
,,1- ANTSIRANANA:Diégo ville:5 TROP PRES,R,3,1000,,NOVEMBRE 2015,"3,300.00",,
,,1- ANTSIRANANA:Diégo ville:5 TROP PRES,R,3,1000,,DECEMBRE 2015,"2,750.00",,
,,Moyenne 1- ANTSIRANANA:Diégo ville:5 TROP PRES,,,,,,,,
,,1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB,R,6,1000,,AOUT 2015,"7,700.00",,
,,1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB,R,6,1000,,SEPTEMBRE 2015,"5,500.00",,
,,1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB,R,6,1000,,OCTOBRE 2015,"4,400.00",,
,,1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB,R,6,1000,,DECEMBRE 2015,"3,850.00",,
,,1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB,R,6,1000,,NOVEMBRE 2015,"2,500.00",,
,,Moyenne 1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB,,,,,,,,
,,1- ANTSIRANANA:Diégo ville:BADAMERA,R,8,1000,,NOVEMBRE 2015,"25,000.00",,
,,1- ANTSIRANANA:Diégo ville:BADAMERA,R,8,1000,,DECEMBRE 2015,"18,500.00",,
,,Moyenne 1- ANTSIRANANA:Diégo ville:BADAMERA,,,,,,,,
,,1- ANTSIRANANA:Diégo ville:BASILE,R,3,1000,,NOVEMBRE 2015,"7,000.00",,
