Etablissement;cat;Nb chb;Taux VT;Mois;Montant (50%);Taux d'occupation;;
1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;3R;8;1000;DECEMBRE 2015;32 000,00;26,67%;;
1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;3R;8;1000;NOVEMBRE 2015;30 000,00;25,00%;;
1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;3R;8;1000;JUILLET 2015;15 000,00;12,50%;;
1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;3R;8;1000;JUIN 2015;5 000,00;4,17%;;
Moyenne 1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;;;;;;25,24%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;AOUT 2015;39 900,00;10,23%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;JUILLET 2015;39 750,00;10,19%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;SEPTEMBRE 2015;30 550,00;7,83%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;OCTOBRE 2015;25 900,00;6,64%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;DECEMBRE 2015;23 800,00;6,10%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;JUIN 2015;21 600,00;5,54%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;NOVEMBRE 2015;21 450,00;5,50%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;FEVRIER 2015;20 000,00;5,13%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;JANVIER 2015;18 900,00;4,85%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;MAI 2015;14 450,00;3,71%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;AVRIL 2015;14 400,00;3,69%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;DECEMBRE 2015;14 000,00;3,59%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;MARS 2015;8 550,00;2,19%;;
Moyenne 1- ANTSIRANANA:Ambanja:SALAMA ROSE;;;;;;5,78%;;
1- ANTSIRANANA:Ambilobe:ANKARANA LODGE;R;12;1000;SEPTEMBRE 2015;84 150,00;46,75%;;
Moyenne 1- ANTSIRANANA:Ambilobe:ANKARANA LODGE;;;;;;46,75%;;
1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL;R;10;1000;SEPTEMBRE 2015;24 500,00;16,33%;;
1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL;R;10;1000;OCTOBRE 2015;24 000,00;16,00%;;
1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL;R;10;1000;AOUT 2015;23 500,00;15,67%;;
1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL;R;10;1000;JUIN 2015;23 000,00;15,33%;;
1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL;R;10;1000;NOVEMBRE 2015;22 500,00;15,00%;;
1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL;R;10;1000;DECEMBRE 2015;22 000,00;14,67%;;
Moyenne 1- ANTSIRANANA:Ambilobe:HOTEL NATIONAL;;;;;;15,50%;;
1- ANTSIRANANA:Ambilobe:LA CASA DU BONHEUR;NC;3;1000;JUIN 2015;2 500,00;5,56%;;
1- ANTSIRANANA:Ambilobe:LA CASA DU BONHEUR;NC;3;1000;NOVEMBRE 2015;1 500,00;3,33%;;
1- ANTSIRANANA:Ambilobe:LA CASA DU BONHEUR;NC;3;1000;AOUT 2015;1 000,00;2,22%;;
1- ANTSIRANANA:Ambilobe:LA CASA DU BONHEUR;NC;3;1000;DECEMBRE 2015;1 000,00;2,22%;;
Moyenne 1- ANTSIRANANA:Ambilobe:LA CASA DU BONHEUR;;;;;;3,33%;;
1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA;2R;6;1000;OCTOBRE 2015;50 000,00;55,56%;;
1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA;2R;6;1000;AOUT 2015;46 000,00;51,11%;;
1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA;2R;6;1000;SEPTEMBRE 2015;38 500,00;42,78%;;
1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA;2R;6;1000;NOVEMBRE 2015;33 500,00;37,22%;;
1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA;2R;6;1000;JUILLET 2015;32 000,00;35,56%;;
1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA;2R;6;1000;JUIN 2015;21 000,00;23,33%;;
1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA;2R;6;1000;DECEMBRE 2015;15 500,00;17,22%;;
Moyenne 1- ANTSIRANANA:Ambilobe:LE RELAIS DE L'ANKARANA;;;;;;37,54%;;
1- ANTSIRANANA:Ambilobe:MALOYA;NC;6;1000;NOVEMBRE 2015;3 500,00;3,89%;;
1- ANTSIRANANA:Ambilobe:MALOYA;NC;6;1000;OCTOBRE 2015;3 000,00;3,33%;;
1- ANTSIRANANA:Ambilobe:MALOYA;NC;6;1000;SEPTEMBRE 2015;3 000,00;3,33%;;
1- ANTSIRANANA:Ambilobe:MALOYA;NC;6;1000;DECEMBRE 2015;2 000,00;2,22%;;
Moyenne 1- ANTSIRANANA:Ambilobe:MALOYA;;;;;;3,19%;;
1- ANTSIRANANA:Diégo ville:5 TROP PRES;R;3;1000;NOVEMBRE 2015;3 300,00;7,33%;;
1- ANTSIRANANA:Diégo ville:5 TROP PRES;R;3;1000;DECEMBRE 2015;2 750,00;6,11%;;
Moyenne 1- ANTSIRANANA:Diégo ville:5 TROP PRES;;;;;;6,72%;;
1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB;R;6;1000;AOUT 2015;7 700,00;8,56%;;
1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB;R;6;1000;SEPTEMBRE 2015;5 500,00;6,11%;;
1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB;R;6;1000;OCTOBRE 2015;4 400,00;4,89%;;
1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB;R;6;1000;DECEMBRE 2015;3 850,00;4,28%;;
1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB;R;6;1000;NOVEMBRE 2015;2 500,00;2,78%;;
Moyenne 1- ANTSIRANANA:Diégo ville:AU PETIT BAOBAB;;;;;;5,32%;;
1- ANTSIRANANA:Diégo ville:BADAMERA;R;8;1000;NOVEMBRE 2015;25 000,00;20,83%;;
1- ANTSIRANANA:Diégo ville:BADAMERA;R;8;1000;DECEMBRE 2015;18 500,00;15,42%;;
Moyenne 1- ANTSIRANANA:Diégo ville:BADAMERA;;;;;;18,13%;;
1- ANTSIRANANA:Diégo ville:BASILE;R;3;1000;NOVEMBRE 2015;7 000,00;15,56%;;
1- ANTSIRANANA:Diégo ville:BASILE;R;3;1000;DECEMBRE 2015;6 000,00;13,33%;;
Moyenne 1- ANTSIRANANA:Diégo ville:BASILE;;;;;;14,44%;;
1- ANTSIRANANA:Diégo ville:BELLE VUE;R;14;1000;DECEMBRE 2015;24 000,00;11,43%;;
Moyenne 1- ANTSIRANANA:Diégo ville:BELLE VUE;;;;;;11,43%;;
1- ANTSIRANANA:Diégo ville:BIFACO;R;5;1000;DECEMBRE 2015;11 000,00;14,67%;;
1- ANTSIRANANA:Diégo ville:BIFACO;R;5;1000;NOVEMBRE 2015;5 000,00;6,67%;;
Moyenne 1- ANTSIRANANA:Diégo ville:BIFACO;;;;;;10,67%;;
1- ANTSIRANANA:Diégo ville:CAREVA;R;6;1000;DECEMBRE 2015;3 000,00;3,33%;;
1- ANTSIRANANA:Diégo ville:CAREVA;R;6;1000;NOVEMBRE 2015;2 500,00;2,78%;;
Moyenne 1- ANTSIRANANA:Diégo ville:CAREVA;;;;;;3,06%;;
1- ANTSIRANANA:Diégo ville:CASE EN FALAFA;R;20;1000;DECEMBRE 2015;45 000,00;15,00%;;
1- ANTSIRANANA:Diégo ville:CASE EN FALAFA;R;20;1000;NOVEMBRE 2015;45 000,00;15,00%;;
Moyenne 1- ANTSIRANANA:Diégo ville:CASE EN FALAFA;;;;;;15,00%;;
1- ANTSIRANANA:Diégo ville:COIN DES AMIS;R;4;1000;OCTOBRE 2015;2 500,00;4,17%;;
1- ANTSIRANANA:Diégo ville:COIN DES AMIS;R;4;1000;DECEMBRE 2015;2 200,00;3,67%;;
1- ANTSIRANANA:Diégo ville:COIN DES AMIS;R;4;1000;NOVEMBRE 2015;1 500,00;2,50%;;
Moyenne 1- ANTSIRANANA:Diégo ville:COIN DES AMIS;;;;;;3,44%;;
1- ANTSIRANANA:Diégo ville:CONCORDE;3R;24;1000;DECEMBRE 2015;14 500,00;4,03%;;
1- ANTSIRANANA:Diégo ville:CONCORDE;3R;24;1000;NOVEMBRE 2015;5 500,00;1,53%;;
Moyenne 1- ANTSIRANANA:Diégo ville:CONCORDE;;;;;;2,78%;;
1- ANTSIRANANA:Diégo ville:DIEGO AMBASSADOR;2E;13;1500;DECEMBRE 2015;26 400,00;9,03%;;
1- ANTSIRANANA:Diégo ville:DIEGO AMBASSADOR;2E;13;1500;OCTOBRE 2015;24 000,00;8,21%;;
1- ANTSIRANANA:Diégo ville:DIEGO AMBASSADOR;2E;13;1500;NOVEMBRE 2015;22 500,00;7,69%;;
Moyenne 1- ANTSIRANANA:Diégo ville:DIEGO AMBASSADOR;;;;;;8,31%;;
1- ANTSIRANANA:Diégo ville:ESPACE MAHEFA;R;6;1000;NOVEMBRE 2015;1 500,00;1,67%;;
1- ANTSIRANANA:Diégo ville:ESPACE MAHEFA;R;6;1000;DECEMBRE 2015;1 000,00;1,11%;;
Moyenne 1- ANTSIRANANA:Diégo ville:ESPACE MAHEFA;;;;;;1,39%;;
1- ANTSIRANANA:Diégo ville:ETOILE DU NORD;R;16;1000;DECEMBRE 2015;4 500,00;1,88%;;
1- ANTSIRANANA:Diégo ville:ETOILE DU NORD;R;16;1000;NOVEMBRE 2015;4 500,00;1,88%;;
1- ANTSIRANANA:Diégo ville:ETOILE DU NORD;R;16;1000;OCTOBRE 2015;4 000,00;1,67%;;
Moyenne 1- ANTSIRANANA:Diégo ville:ETOILE DU NORD;;;;;;1,81%;;
1- ANTSIRANANA:Diégo ville:HAIMAH;R;23;1000;DECEMBRE 2015;26 000,00;7,54%;;
1- ANTSIRANANA:Diégo ville:HAIMAH;R;23;1000;NOVEMBRE 2015;16 000,00;4,64%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HAIMAH;;;;;;6,09%;;
1- ANTSIRANANA:Diégo ville:HEBERG DE LA BAIE DE DIEGO;E;20;1500;NOVEMBRE 2015;87 000,00;19,33%;;
1- ANTSIRANANA:Diégo ville:HEBERG DE LA BAIE DE DIEGO;E;20;1500;DECEMBRE 2015;69 000,00;15,33%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HEBERG DE LA BAIE DE DIEGO;;;;;;17,33%;;
1- ANTSIRANANA:Diégo ville:HOTEL AVENIR;R;7;1000;NOVEMBRE 2015;11 000,00;10,48%;;
1- ANTSIRANANA:Diégo ville:HOTEL AVENIR;R;7;1000;DECEMBRE 2015;6 000,00;5,71%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL AVENIR;;;;;;8,10%;;
1- ANTSIRANANA:Diégo ville:HOTEL BELLE VUE;R;14;1000;NOVEMBRE 2015;58 500,00;27,86%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL BELLE VUE;;;;;;27,86%;;
1- ANTSIRANANA:Diégo ville:HOTEL CAP DIEGO;2E;10;1500;DECEMBRE 2015;12 000,00;5,33%;;
