Etablissement;cat;Nb chb;Taux VT;Mois;Montant (50%);Taux d'occupation;;
Moyenne 2- NOSY BE:LE TRANSAT;;;;;;15,56%;;
2- NOSY BE:LE ZAHIR LODGE;2E;10;1500;AOUT 2015;123 750,00;55,00%;;
2- NOSY BE:LE ZAHIR LODGE;2E;10;1500;OCTOBRE 2015;109 500,00;48,67%;;
2- NOSY BE:LE ZAHIR LODGE;2E;10;1500;SEPTEMBRE 2015;91 500,00;40,67%;;
2- NOSY BE:LE ZAHIR LODGE;2E;10;1500;NOVEMBRE 2015;74 250,00;33,00%;;
2- NOSY BE:LE ZAHIR LODGE;2E;10;1500;DECEMBRE 2015;48 750,00;21,67%;;
Moyenne 2- NOSY BE:LE ZAHIR LODGE;;;;;;39,80%;;
2- NOSY BE:LES BOUCANIERS;E;15;1500;JUILLET AU DECEMBRE 2015;556 875,00;27,50%;;
2- NOSY BE:LES BOUCANIERS;E;15;1500;JUILLET AU SEPTEMBRE 2015;90 000,00;8,89%;;
2- NOSY BE:LES BOUCANIERS;E;15;1500;OCTOBRE AU DECEMBRE 2015;82 500,00;8,15%;;
Moyenne 2- NOSY BE:LES BOUCANIERS;;;;;;14,85%;;
2- NOSY BE:LES PAPAYERS;R;4;1000;JANVIER 2015;31 000,00;51,67%;;
2- NOSY BE:LES PAPAYERS;R;4;1000;FEVRIER 2015;26 500,00;44,17%;;
2- NOSY BE:LES PAPAYERS;R;4;1000;SEPTEMBRE 2015;22 000,00;36,67%;;
2- NOSY BE:LES PAPAYERS;R;4;1000;NOVEMBRE 2015;17 500,00;29,17%;;
2- NOSY BE:LES PAPAYERS;R;4;1000;DECEMBRE 2015;17 000,00;28,33%;;
2- NOSY BE:LES PAPAYERS;R;4;1000;OCTOBRE 2015;16 000,00;26,67%;;
2- NOSY BE:LES PAPAYERS;R;4;1000;MARS 2015;7 500,00;12,50%;;
Moyenne 2- NOSY BE:LES PAPAYERS;;;;;;32,74%;;
2- NOSY BE:MADABAY;R;4;1000;NOVEMBRE 2015;2 000,00;3,33%;;
Moyenne 2- NOSY BE:MADABAY;;;;;;3,33%;;
2- NOSY BE:MAIC SARL;2E;70;1500;NOVEMBRE 2015;1 287 500,00;81,75%;;
2- NOSY BE:MAIC SARL;2E;70;1500;DECEMBRE 2015;507 500,00;32,22%;;
Moyenne 2- NOSY BE:MAIC SARL;;;;;;56,98%;;
2- NOSY BE:MAISON PATCHWORK;R;6;1000;DECEMBRE 2015;10 000,00;11,11%;;
2- NOSY BE:MAISON PATCHWORK;R;6;1000;NOVEMBRE 2015;7 000,00;7,78%;;
Moyenne 2- NOSY BE:MAISON PATCHWORK;;;;;;9,44%;;
2- NOSY BE:MANGASOA LODGE;R;9;1000;DECEMBRE 2015;19 500,00;14,44%;;
2- NOSY BE:MANGASOA LODGE;R;9;1000;NOVEMBRE 2015;13 500,00;10,00%;;
2- NOSY BE:MANGASOA LODGE;R;9;1000;OCTOBRE 2015;13 500,00;10,00%;;
Moyenne 2- NOSY BE:MANGASOA LODGE;;;;;;11,48%;;
2- NOSY BE:NASSIM HOTEL;R;6;1000;DECEMBRE 2015;10 000,00;11,11%;;
Moyenne 2- NOSY BE:NASSIM HOTEL;;;;;;11,11%;;
2- NOSY BE:NATURA LODGE;R;9;1000;NOVEMBRE 2015;10 000,00;7,41%;;
2- NOSY BE:NATURA LODGE;R;9;1000;DECEMBRE 2015;5 000,00;3,70%;;
Moyenne 2- NOSY BE:NATURA LODGE;;;;;;5,56%;;
2- NOSY BE:NATURE SAUVAGE;R;8;1000;AVRIL 2015;7 000,00;5,83%;;
2- NOSY BE:NATURE SAUVAGE;R;8;1000;JANVIER 2015;6 000,00;5,00%;;
Moyenne 2- NOSY BE:NATURE SAUVAGE;;;;;;5,42%;;
2- NOSY BE:ORANGEA VILLAGE;R;35;1000;NOVEMBRE 2015;92 500,00;17,62%;;
2- NOSY BE:ORANGEA VILLAGE;R;35;1000;DECEMBRE 2015;85 000,00;16,19%;;
Moyenne 2- NOSY BE:ORANGEA VILLAGE;;;;;;16,90%;;
2- NOSY BE:PALM BEACH RESORT;4E;63;5000;NOVEMBRE 2015;987 500,00;20,90%;;
Moyenne 2- NOSY BE:PALM BEACH RESORT;;;;;;20,90%;;
2- NOSY BE:PALM ROUGE;R;4;1000;NOVEMBRE 2015;31 000,00;51,67%;;
Moyenne 2- NOSY BE:PALM ROUGE;;;;;;51,67%;;
2- NOSY BE:RAHIM'S HOTEL;R;23;1000;NOVEMBRE 2015;28 500,00;8,26%;;
2- NOSY BE:RAHIM'S HOTEL;R;23;1000;DECEMBRE 2015;19 000,00;5,51%;;
Moyenne 2- NOSY BE:RAHIM'S HOTEL;;;;;;6,88%;;
2- NOSY BE:RAVINTSARA;4E;20;5000;NOVEMBRE 2015;327 500,00;21,83%;;
2- NOSY BE:RAVINTSARA;4E;20;5000;OCTOBRE 2015;272 500,00;18,17%;;
2- NOSY BE:RAVINTSARA;4E;20;5000;DECEMBRE 2015;190 000,00;12,67%;;
Moyenne 2- NOSY BE:RAVINTSARA;;;;;;17,56%;;
2- NOSY BE:RESIDENCE AU SABLE BLANC;R;6;1000;NOVEMBRE 2015;27 500,00;30,56%;;
2- NOSY BE:RESIDENCE AU SABLE BLANC;R;6;1000;DECEMBRE 2015;27 000,00;30,00%;;
Moyenne 2- NOSY BE:RESIDENCE AU SABLE BLANC;;;;;;30,28%;;
2- NOSY BE:RESIDENCE LA BAIE;R;4;1000;NOVEMBRE 2015;36 000,00;60,00%;;
Moyenne 2- NOSY BE:RESIDENCE LA BAIE;;;;;;60,00%;;
2- NOSY BE:ROSA;R;6;1000;NOVEMBRE 2015;8 500,00;9,44%;;
2- NOSY BE:ROSA;R;6;1000;DECEMBRE 2015;6 500,00;7,22%;;
Moyenne 2- NOSY BE:ROSA;;;;;;8,33%;;
2- NOSY BE:ROYAL BEACH HOTEL;4E;48;5000;NOVEMBRE 2015;1 175 000,00;32,64%;;
2- NOSY BE:ROYAL BEACH HOTEL;4E;48;5000;DECEMBRE 2015;1 050 000,00;29,17%;;
2- NOSY BE:ROYAL BEACH HOTEL;4E;48;5000;DECEMBRE 2015;675 000,00;18,75%;;
Moyenne 2- NOSY BE:ROYAL BEACH HOTEL;;;;;;26,85%;;
2- NOSY BE:SAFARI MER;R;4;1000;NOVEMBRE 2015;42 500,00;70,83%;;
Moyenne 2- NOSY BE:SAFARI MER;;;;;;70,83%;;
2- NOSY BE:SAMBATRA BEACH;R;4;1000;NOVEMBRE 2015;9 000,00;15,00%;;
Moyenne 2- NOSY BE:SAMBATRA BEACH;;;;;;15,00%;;
2- NOSY BE:SANGANY LODGE;3E;6;5000;OCTOBRE 2015;52 500,00;11,67%;;
2- NOSY BE:SANGANY LODGE;3E;6;5000;MAI 2015;50 000,00;11,11%;;
2- NOSY BE:SANGANY LODGE;3E;6;5000;AOUT 2015;37 500,00;8,33%;;
2- NOSY BE:SANGANY LODGE;3E;6;5000;JUILLET 2015;37 500,00;8,33%;;
2- NOSY BE:SANGANY LODGE;3E;6;5000;MARS 2015;35 000,00;7,78%;;
2- NOSY BE:SANGANY LODGE;3E;6;5000;AVRIL 2015;25 000,00;5,56%;;
2- NOSY BE:SANGANY LODGE;3E;6;5000;FEVRIER 2015;25 000,00;5,56%;;
2- NOSY BE:SANGANY LODGE;3E;6;5000;JANVIER 2015;25 000,00;5,56%;;
2- NOSY BE:SANGANY LODGE;3E;6;5000;SEPTEMBRE 2015;17 500,00;3,89%;;
Moyenne 2- NOSY BE:SANGANY LODGE;;;;;;7,53%;;
2- NOSY BE:SEEGO (LA PLANTATION);R;10;1000;DECEMBRE 2015;97 500,00;65,00%;;
2- NOSY BE:SEEGO (LA PLANTATION);R;10;1000;NOVEMBRE 2015;12 000,00;8,00%;;
Moyenne 2- NOSY BE:SEEGO (LA PLANTATION);;;;;;36,50%;;
2- NOSY BE:SMMH S A;4E;208;5000;DECEMBRE 2015;7 955 000,00;50,99%;;
2- NOSY BE:SMMH S A;4E;208;5000;NOVEMBRE 2015;4 420 000,00;28,33%;;
Moyenne 2- NOSY BE:SMMH S A;;;;;;39,66%;;
2- NOSY BE:SOCIETE HOTELIERE D'AMBONARA;R;10;1000;DECEMBRE 2015;16 500,00;11,00%;;
2- NOSY BE:SOCIETE HOTELIERE D'AMBONARA;R;10;1000;NOVEMBRE 2015;16 000,00;10,67%;;
Moyenne 2- NOSY BE:SOCIETE HOTELIERE D'AMBONARA;;;;;;10,83%;;
2- NOSY BE:SOGIFA(STE GITE FAMILIALE);NC;14;1000;NOVEMBRE 2015;117 000,00;55,71%;;
2- NOSY BE:SOGIFA(STE GITE FAMILIALE);NC;14;1000;DECEMBRE 2015;91 500,00;43,57%;;
Moyenne 2- NOSY BE:SOGIFA(STE GITE FAMILIALE);;;;;;49,64%;;
2- NOSY BE:TATA HOTEL;R;11;1000;NOVEMBRE 2015;93 500,00;56,67%;;
2- NOSY BE:TATA HOTEL;R;11;1000;DECEMBRE 2015;54 000,00;32,73%;;
Moyenne 2- NOSY BE:TATA HOTEL;;;;;;44,70%;;
2- NOSY BE:TONGASOA;R;5;1000;DECEMBRE 2015;5 500,00;7,33%;;
2- NOSY BE:TONGASOA;R;5;1000;NOVEMBRE 2015;4 000,00;5,33%;;
2- NOSY BE:TONGASOA;R;5;1000;OCTOBRE 2015;3 500,00;4,67%;;
2- NOSY BE:TONGASOA;R;5;1000;AOUT 2015;3 000,00;4,00%;;
2- NOSY BE:TONGASOA;R;5;1000;SEPTEMBRE 2015;3 000,00;4,00%;;
2- NOSY BE:TONGASOA;R;5;1000;JUILLET 2015;2 500,00;3,33%;;
2- NOSY BE:TONGASOA;R;5;1000;MAI 2015;2 500,00;3,33%;;
Moyenne 2- NOSY BE:TONGASOA;;;;;;4,57%;;
2- NOSY BE:TORTUE RAPID;R;6;1000;NOVEMBRE 2015;26 500,00;29,44%;;
2- NOSY BE:TORTUE RAPID;R;6;1000;DECEMBRE 2015;5 000,00;5,56%;;
Moyenne 2- NOSY BE:TORTUE RAPID;;;;;;17,50%;;
2- NOSY BE:TSARA KOMBA AUBERGE;R;8;1000;OCTOBRE 2015;74 000,00;61,67%;;
2- NOSY BE:TSARA KOMBA AUBERGE;R;8;1000;SEPTEMBRE 2015;55 500,00;46,25%;;
2- NOSY BE:TSARA KOMBA AUBERGE;R;8;1000;DECEMBRE 2015;50 500,00;42,08%;;
2- NOSY BE:TSARA KOMBA AUBERGE;R;8;1000;NOVEMBRE 2015;39 000,00;32,50%;;
Moyenne 2- NOSY BE:TSARA KOMBA AUBERGE;;;;;;45,63%;;
2- NOSY BE:UN AUTRE MONDE;3R;9;1000;NOVEMBRE 2015;6 000,00;4,44%;;
Moyenne 2- NOSY BE:UN AUTRE MONDE;;;;;;4,44%;;
2- NOSY BE:VANILA HOTEL;3E;56;5000;NOVEMBRE 2015;262 500,00;6,25%;;
2- NOSY BE:VANILA HOTEL;3E;56;5000;DECEMBRE 2015;197 500,00;4,70%;;
Moyenne 2- NOSY BE:VANILA HOTEL;;;;;;5,48%;;
2- NOSY BE:VANIO LODGE;R;8;1000;NOVEMBRE 2015;21 000,00;17,50%;;
2- NOSY BE:VANIO LODGE;R;8;1000;DECEMBRE 2015;20 000,00;16,67%;;
Moyenne 2- NOSY BE:VANIO LODGE;;;;;;17,08%;;
2- NOSY BE:VILLA AMNESIA;R;7;1000;DECEMBRE 2015;52 000,00;49,52%;;
2- NOSY BE:VILLA AMNESIA;R;7;1000;NOVEMBRE 2015;49 000,00;46,67%;;
Moyenne 2- NOSY BE:VILLA AMNESIA;;;;;;48,10%;;
2- NOSY BE:VILLA GAIA;R;3;1000;NOVEMBRE 2015;13 500,00;30,00%;;
Moyenne 2- NOSY BE:VILLA GAIA;;;;;;30,00%;;
2- NOSY BE:VILLA MARINA;R;3;1000;NOVEMBRE 2015;21 500,00;47,78%;;
2- NOSY BE:VILLA MARINA;R;3;1000;DECEMBRE 2015;3 500,00;7,78%;;
Moyenne 2- NOSY BE:VILLA MARINA;;;;;;27,78%;;
2- NOSY BE:VILLA MENA;R;2;1000;NOVEMBRE 2015;19 500,00;65,00%;;
2- NOSY BE:VILLA MENA;R;2;1000;DECEMBRE 2015;12 500,00;41,67%;;
Moyenne 2- NOSY BE:VILLA MENA;;;;;;53,33%;;
2- NOSY BE:VILLA MOANA;NC;3;1000;NOVEMBRE 2015;15 000,00;33,33%;;
Moyenne 2- NOSY BE:VILLA MOANA;;;;;;33,33%;;
2- NOSY BE:VILLA VALIHA;R;10;1000;NOVEMBRE 2015;54 500,00;36,33%;;
2- NOSY BE:VILLA VALIHA;R;10;1000;DECEMBRE 2015;15 500,00;10,33%;;
Moyenne 2- NOSY BE:VILLA VALIHA;;;;;;23,33%;;
3- SAMBAVA:Andapa:CLUB DES AMIS;R;22;1000;DECEMBRE 2015;24 000,00;7,27%;;
3- SAMBAVA:Andapa:CLUB DES AMIS;R;22;1000;NOVEMBRE 2015;24 000,00;7,27%;;
3- SAMBAVA:Andapa:CLUB DES AMIS;R;22;1000;OCTOBRE 2015;24 000,00;7,27%;;
3- SAMBAVA:Andapa:CLUB DES AMIS;R;22;1000;SEPTEMBRE 2015;24 000,00;7,27%;;
Moyenne 3- SAMBAVA:Andapa:CLUB DES AMIS;;;;;;7,27%;;
3- SAMBAVA:Andapa:HOTEL BEANANA;R;10;1000;NOVEMBRE 2015;50 500,00;33,67%;;
3- SAMBAVA:Andapa:HOTEL BEANANA;R;10;1000;DECEMBRE 2015;38 500,00;25,67%;;
Moyenne 3- SAMBAVA:Andapa:HOTEL BEANANA;;;;;;29,67%;;
3- SAMBAVA:Andapa:HOTEL MAMA;R;3;1000;DECEMBRE 2015;6 000,00;13,33%;;
Moyenne 3- SAMBAVA:Andapa:HOTEL MAMA;;;;;;13,33%;;
3- SAMBAVA:Andapa:HOTEL PIERRICKA;R;3;1000;DECEMBRE 2015;3 500,00;7,78%;;
3- SAMBAVA:Andapa:HOTEL PIERRICKA;R;3;1000;NOVEMBRE 2015;3 000,00;6,67%;;
Moyenne 3- SAMBAVA:Andapa:HOTEL PIERRICKA;;;;;;7,22%;;
3- SAMBAVA:Andapa:HOTEL VEROMANITRA;R;12;1000;NOVEMBRE 2015;7 500,00;4,17%;;
3- SAMBAVA:Andapa:HOTEL VEROMANITRA;R;12;1000;DECEMBRE 2015;6 500,00;3,61%;;
Moyenne 3- SAMBAVA:Andapa:HOTEL VEROMANITRA;;;;;;3,89%;;
3- SAMBAVA:Andapa:RIZIKY;R;6;1000;DECEMBRE 2015;33 750,00;37,50%;;
3- SAMBAVA:Andapa:RIZIKY;R;6;1000;NOVEMBRE 2015;30 000,00;33,33%;;
Moyenne 3- SAMBAVA:Andapa:RIZIKY;;;;;;35,42%;;
3- SAMBAVA:Andapa:VATOSOA;R;15;1000;DECEMBRE 2015;70 000,00;31,11%;;
3- SAMBAVA:Andapa:VATOSOA;R;15;1000;NOVEMBRE 2015;62 500,00;27,78%;;
Moyenne 3- SAMBAVA:Andapa:VATOSOA;;;;;;29,44%;;
3- SAMBAVA:Antalaha:ANJARISOA;R;20;1000;DECEMBRE 2015;10 000,00;3,33%;;
Moyenne 3- SAMBAVA:Antalaha:ANJARISOA;;;;;;3,33%;;
3- SAMBAVA:Antalaha:ATLANTIS;R;12;1000;DECEMBRE 2015;8 000,00;4,44%;;
3- SAMBAVA:Antalaha:ATLANTIS;R;12;1000;JANVIER 2015;8 000,00;4,44%;;
Moyenne 3- SAMBAVA:Antalaha:ATLANTIS;;;;;;4,44%;;
3- SAMBAVA:Antalaha:HOTEL DU CENTRE;3R;8;1000;DECEMBRE 2015;18 000,00;15,00%;;
Moyenne 3- SAMBAVA:Antalaha:HOTEL DU CENTRE;;;;;;15,00%;;
3- SAMBAVA:Antalaha:HOTEL EDEN;R;26;1000;DECEMBRE 2015;10 000,00;2,56%;;
Moyenne 3- SAMBAVA:Antalaha:HOTEL EDEN;;;;;;2,56%;;
3- SAMBAVA:Antalaha:HOTEL FLORIDA;3R;12;1000;DECEMBRE 2015;36 000,00;20,00%;;
3- SAMBAVA:Antalaha:HOTEL FLORIDA;3R;12;1000;NOVEMBRE 2015;12 500,00;6,94%;;
Moyenne 3- SAMBAVA:Antalaha:HOTEL FLORIDA;;;;;;13,47%;;
3- SAMBAVA:Antalaha:HOTEL HAZOVOLA ANTALAHA;3E;21;5000;DECEMBRE 2015;57 500,00;3,65%;;
Moyenne 3- SAMBAVA:Antalaha:HOTEL HAZOVOLA ANTALAHA;;;;;;3,65%;;
3- SAMBAVA:Antalaha:HOTEL LA LIANE;R;4;1000;NOVEMBRE 2015;12 500,00;20,83%;;
3- SAMBAVA:Antalaha:HOTEL LA LIANE;R;4;1000;DECEMBRE 2015;10 000,00;16,67%;;
Moyenne 3- SAMBAVA:Antalaha:HOTEL LA LIANE;;;;;;18,75%;;
3- SAMBAVA:Antalaha:HOTEL VITASOA;E;15;1500;DECEMBRE 2015;30 000,00;8,89%;;
Moyenne 3- SAMBAVA:Antalaha:HOTEL VITASOA;;;;;;8,89%;;
3- SAMBAVA:Antalaha:LE COCOTIER;R;17;1000;DECEMBRE 2015;7 500,00;2,94%;;
Moyenne 3- SAMBAVA:Antalaha:LE COCOTIER;;;;;;2,94%;;
3- SAMBAVA:Antalaha:OCEAN MOMO;R;18;1000;DECEMBRE 2015;98 250,00;36,39%;;
Moyenne 3- SAMBAVA:Antalaha:OCEAN MOMO;;;;;;36,39%;;
3- SAMBAVA:Antalaha:VILLA MALAZA;R;5;1000;DECEMBRE 2015;32 000,00;42,67%;;
Moyenne 3- SAMBAVA:Antalaha:VILLA MALAZA;;;;;;42,67%;;
3- SAMBAVA:Sambava ville:FLORIDA;3R;12;1000;JANVIER AU DECEMBRE 2015;60 000,00;2,78%;;
Moyenne 3- SAMBAVA:Sambava ville:FLORIDA;;;;;;2,78%;;
3- SAMBAVA:Sambava ville:HOSTAL TIAKO MAROJEJY;R;16;1000;JANVIER AU DECEMBRE 2015;44 500,00;1,55%;;
Moyenne 3- SAMBAVA:Sambava ville:HOSTAL TIAKO MAROJEJY;;;;;;1,55%;;
3- SAMBAVA:Sambava ville:HOTEL BEL AIR;R;20;1000;OCTOBRE AU DECEMBRE 2015;75 000,00;8,33%;;
Moyenne 3- SAMBAVA:Sambava ville:HOTEL BEL AIR;;;;;;8,33%;;
3- SAMBAVA:Sambava ville:HOTEL CANTONAIS;3R;8;1000;DECEMBRE 2015;25 000,00;20,83%;;
Moyenne 3- SAMBAVA:Sambava ville:HOTEL CANTONAIS;;;;;;20,83%;;
3- SAMBAVA:Sambava ville:HOTEL CARREFOUR;2E;24;1500;AVRIL AU DECEMBRE 2015;114 000,00;2,35%;;
Moyenne 3- SAMBAVA:Sambava ville:HOTEL CARREFOUR;;;;;;2,35%;;
3- SAMBAVA:Sambava ville:HOTEL MELROSE;E;18;1500;DECEMBRE 2015;60 000,00;14,81%;;
Moyenne 3- SAMBAVA:Sambava ville:HOTEL MELROSE;;;;;;14,81%;;
3- SAMBAVA:Sambava ville:HOTEL MIMI;2E;16;1500;DECEMBRE 2015;110 250,00;30,63%;;
Moyenne 3- SAMBAVA:Sambava ville:HOTEL MIMI;;;;;;30,63%;;
3- SAMBAVA:Sambava ville:HOTEL MIMOSA;R;15;1000;SEPTEMBRE AU NOVEMBRE 2015;45 000,00;6,67%;;
Moyenne 3- SAMBAVA:Sambava ville:HOTEL MIMOSA;;;;;;6,67%;;
3- SAMBAVA:Sambava ville:HOTEL PALMISTE;NC;9;1000;MARS AU DECEMBRE 2015;50 000,00;4,12%;;
Moyenne 3- SAMBAVA:Sambava ville:HOTEL PALMISTE;;;;;;4,12%;;
3- SAMBAVA:Sambava ville:JARDIN D'EDEN;R;8;1000;DECEMBRE 2015;10 000,00;8,33%;;
Moyenne 3- SAMBAVA:Sambava ville:JARDIN D'EDEN;;;;;;8,33%;;
3- SAMBAVA:Sambava ville:LA PAILLOTTE;R;4;1000;DECEMBRE 2015;12 500,00;20,83%;;
3- SAMBAVA:Sambava ville:LA PAILLOTTE;R;4;1000;NOVEMBRE 2015;12 500,00;20,83%;;
3- SAMBAVA:Sambava ville:LA PAILLOTTE;R;4;1000;JANVIER AU MAI 2015;60 000,00;20,00%;;
3- SAMBAVA:Sambava ville:LA PAILLOTTE;R;4;1000;JUIN AU AOUT 2015;36 000,00;20,00%;;
3- SAMBAVA:Sambava ville:LA PAILLOTTE;R;4;1000;SEPTEMBRE ET OCTOBRE 2015;24 000,00;20,00%;;
Moyenne 3- SAMBAVA:Sambava ville:LA PAILLOTTE;;;;;;20,33%;;
3- SAMBAVA:Sambava ville:LAS PALMAS;2E;9;1500;OCTOBRE AU DECEMBRE 2015;182 250,00;30,00%;;
Moyenne 3- SAMBAVA:Sambava ville:LAS PALMAS;;;;;;30,00%;;
3- SAMBAVA:Sambava ville:LES COCOTIERS;NC;6;1000;OCTOBRE 2015;9 000,00;10,00%;;
3- SAMBAVA:Sambava ville:LES COCOTIERS;NC;6;1000;NOVEMBRE 2015;7 000,00;7,78%;;
3- SAMBAVA:Sambava ville:LES COCOTIERS;NC;6;1000;DECEMBRE 2015;6 000,00;6,67%;;
3- SAMBAVA:Sambava ville:LES COCOTIERS;NC;6;1000;SEPTEMBRE 2015;6 000,00;6,67%;;
Moyenne 3- SAMBAVA:Sambava ville:LES COCOTIERS;;;;;;7,78%;;
3- SAMBAVA:Sambava ville:NOUMED HOTEL;R;6;1000;OCTOBRE AU DECEMBRE 2015;15 000,00;5,56%;;
Moyenne 3- SAMBAVA:Sambava ville:NOUMED HOTEL;;;;;;5,56%;;
3- SAMBAVA:Sambava ville:ORCHIDEA BEACH II;R;12;1000;DECEMBRE 2015;45 000,00;25,00%;;
Moyenne 3- SAMBAVA:Sambava ville:ORCHIDEA BEACH II;;;;;;25,00%;;
3- SAMBAVA:Sambava ville:RAMANADRAIBE EXPORTATION;R;3;1000;DECEMBRE 2015;3 500,00;7,78%;;
Moyenne 3- SAMBAVA:Sambava ville:RAMANADRAIBE EXPORTATION;;;;;;7,78%;;
3- SAMBAVA:Sambava ville:VILLA SCHERIDANNE;NC;5;1000;NOVEMBRE 2015;25 000,00;33,33%;;
3- SAMBAVA:Sambava ville:VILLA SCHERIDANNE;NC;5;1000;DECEMBRE 2015;20 500,00;27,33%;;
3- SAMBAVA:Sambava ville:VILLA SCHERIDANNE;NC;5;1000;OCTOBRE 2015;16 000,00;21,33%;;
Moyenne 3- SAMBAVA:Sambava ville:VILLA SCHERIDANNE;;;;;;27,33%;;
3- SAMBAVA:Vohémar:COCO PLAGE;R;5;1000;SEPTEMBRE AU DECEMBRE 2015;35 000,00;11,67%;;
3- SAMBAVA:Vohémar:COCO PLAGE;R;5;1000;JANVIER AU AVRIL 2015;30 000,00;10,00%;;
3- SAMBAVA:Vohémar:COCO PLAGE;R;5;1000;MAI AU AOUT 2015;30 000,00;10,00%;;
Moyenne 3- SAMBAVA:Vohémar:COCO PLAGE;;;;;;10,56%;;
3- SAMBAVA:Vohémar:DREAM'S HOTEL;R;6;1000;JUILLET AU SEPTEMBRE 2015;15 000,00;5,56%;;
3- SAMBAVA:Vohémar:DREAM'S HOTEL;R;6;1000;OCTOBRE AU NOVEMBRE 2015;7 500,00;4,17%;;
Moyenne 3- SAMBAVA:Vohémar:DREAM'S HOTEL;;;;;;4,86%;;
3- SAMBAVA:Vohémar:HAVANAY;NC;7;1000;NOVEMBRE ET DECEMBRE 2015;12 000,00;5,71%;;
Moyenne 3- SAMBAVA:Vohémar:HAVANAY;;;;;;5,71%;;
3- SAMBAVA:Vohémar:HORTENSIA;R;4;1000;AOUT AU DECEMBRE 2015;40 000,00;13,33%;;
Moyenne 3- SAMBAVA:Vohémar:HORTENSIA;;;;;;13,33%;;
3- SAMBAVA:Vohémar:HOTEL GALAXY;R;8;1000;SEPTEMBRE AU NOVEMBRE 2015;22 500,00;6,25%;;
3- SAMBAVA:Vohémar:HOTEL GALAXY;R;8;1000;JUIN AU AOUT 2015;20 000,00;5,56%;;
Moyenne 3- SAMBAVA:Vohémar:HOTEL GALAXY;;;;;;5,90%;;
3- SAMBAVA:Vohémar:HOTEL PALMYRA;R;3;1000;NOVEMBRE 2015;6 000,00;13,33%;;
3- SAMBAVA:Vohémar:HOTEL PALMYRA;R;3;1000;DECEMBRE 2015;5 000,00;11,11%;;
Moyenne 3- SAMBAVA:Vohémar:HOTEL PALMYRA;;;;;;12,22%;;
3- SAMBAVA:Vohémar:LA BAIE D' IHARANA;4E;16;5000;DECEMBRE 2015;72 000,00;6,00%;;
3- SAMBAVA:Vohémar:LA BAIE D' IHARANA;4E;16;5000;NOVEMBRE 2015;72 000,00;6,00%;;
Moyenne 3- SAMBAVA:Vohémar:LA BAIE D' IHARANA;;;;;;6,00%;;
3- SAMBAVA:Vohémar:LA CIGOGNE;R;7;1000;NOVEMBRE 2015;10 000,00;9,52%;;
Moyenne 3- SAMBAVA:Vohémar:LA CIGOGNE;;;;;;9,52%;;
3- SAMBAVA:Vohémar:ROTANY;3E;8;5000;MARS AU AOUT 2015;30 000,00;0,71%;;
Moyenne 3- SAMBAVA:Vohémar:ROTANY;;;;;;0,71%;;
4- MAHAJANGA:ANALALAVA:HOTEL ANJAJAVY;4E;28;5000;DECEMBRE 2015;355 000,00;16,90%;;
Moyenne 4- MAHAJANGA:ANALALAVA:HOTEL ANJAJAVY;;;;;;16,90%;;
4- MAHAJANGA:ANALALAVA:RADAMA LODGE;R;10;1000;JUILLET AU DECEMBRE 2015;28 000,00;3,11%;;
Moyenne 4- MAHAJANGA:ANALALAVA:RADAMA LODGE;;;;;;3,11%;;
4- MAHAJANGA:ANTSALOVA:CAMP CROCO;R;19;1000;MAI AU JUILLET 2015;10 000,00;1,17%;;
Moyenne 4- MAHAJANGA:ANTSALOVA:CAMP CROCO;;;;;;1,17%;;
4- MAHAJANGA:ANTSALOVA:LE GRAND HOTEL DU TSINGY;R;22;1000;JUIN 2015;5 000,00;1,52%;;
Moyenne 4- MAHAJANGA:ANTSALOVA:LE GRAND HOTEL DU TSINGY;;;;;;1,52%;;
4- MAHAJANGA:ANTSALOVA:TANANKOAY;R;20;1000;JUIN 2015;49 000,00;16,33%;;
Moyenne 4- MAHAJANGA:ANTSALOVA:TANANKOAY;;;;;;16,33%;;
4- MAHAJANGA:ANTSALOVA:TSINGY LODGE;R;5;1000;JUIN 2015;1 500,00;2,00%;;
Moyenne 4- MAHAJANGA:ANTSALOVA:TSINGY LODGE;;;;;;2,00%;;
4- MAHAJANGA:ANTSOHIHY SOFIA:HOTEL AMADSON;R;7;1000;DECEMBRE 2015;14 000,00;13,33%;;
4- MAHAJANGA:ANTSOHIHY SOFIA:HOTEL AMADSON;R;7;1000;AOUT 2015;13 000,00;12,38%;;
4- MAHAJANGA:ANTSOHIHY SOFIA:HOTEL AMADSON;R;7;1000;OCTOBRE 2015;12 500,00;11,90%;;
4- MAHAJANGA:ANTSOHIHY SOFIA:HOTEL AMADSON;R;7;1000;JUILLET 2015;12 000,00;11,43%;;
4- MAHAJANGA:ANTSOHIHY SOFIA:HOTEL AMADSON;R;7;1000;NOVEMBRE 2015;11 000,00;10,48%;;
4- MAHAJANGA:ANTSOHIHY SOFIA:HOTEL AMADSON;R;7;1000;SEPTEMBRE 2015;9 000,00;8,57%;;
Moyenne 4- MAHAJANGA:ANTSOHIHY SOFIA:HOTEL AMADSON;;;;;;11,35%;;
4- MAHAJANGA:ANTSOHIHY SOFIA:HOTEL ANAIS;R;17;1000;AOUT AU DECEMBRE 2015;25 000,00;1,96%;;
4- MAHAJANGA:ANTSOHIHY SOFIA:HOTEL ANAIS;R;17;1000;SEPTEMBRE AU DECEMBRE 2015;15 000,00;1,47%;;
